Name,Url,Authority,Started On,Finished On,License Number
ELP Program,https://drive.google.com/file/d/1-b_rrY7evGvEoRZsnYIbP6ZM26Hu-amm/view?usp=sharing,Purdue University Fort Wayne,Dec 2021,,
Crash Course on Python,https://drive.google.com/file/d/1Yoc_a2NwhpkGCdTQ3BXuLXBJcslObF0b/view?usp=sharing,Google,Aug 2021,,
Leadership and organazational behavior,https://drive.google.com/file/d/1q9uwqgNST12v6nXYJT4mdqo85NRJZvtC/view?usp=sharing,Tecnológico de Monterrey,Feb 2022,,
Japanese ,https://drive.google.com/file/d/1aQOjGTRod9d8pMQQIpem4dO4mjoiycs1/view?usp=sharing,Saint Petersburg State University,Jun 2021,,
English,https://drive.google.com/file/d/1aBh1I4GLHwnSaCypoWwkhkF0Ps4LTCR1/view?usp=sharing,Georgia Institute of Technology,Aug 2021,,
Cyber Security,https://drive.google.com/file/d/1f7guzf_xtXuUoFw3Pifh2ayMYbnAKEbw/view?usp=drive_link,ASEAN LAB / ASEAN Cyber University (ACU),Oct 2025,,
Panelist,https://drive.google.com/file/d/16Rosi3BcxCXio807FbK6Jy147izHgVP2/view?usp=drive_link,University of Technology ( Yatanarpon Cyber City),Aug 2025,,
Venture Base Hackathon,https://drive.google.com/file/d/1PkUu00EHU6QwbuDb-EePlU6NBMBRJbpl/view?usp=drive_link,New Next International College,Oct 2025,,
Real-world Web Exploitation,https://drive.google.com/file/d/1Ant8sIe0wDJ7O3c8uLyHHVquhMMjBqQC/view?usp=sharing,ASEAN LAB / ASEAN Cyber University (ACU),Dec 2025,,
Real-world System Exploitation,https://drive.google.com/file/d/1cHW4QBMWKSNwL-yqK8lbuJvYqbhLtSbu/view?usp=sharing,ASEAN LAB / ASEAN Cyber University (ACU),Dec 2025,,
Malware Analysis,https://drive.google.com/file/d/1z6bIe-SOuQklIQBiY8Io0MgOQCyuMPnM/view?usp=sharing,ASEAN LAB / ASEAN Cyber University (ACU),Dec 2025,,
AI Ready ASEAN Youth Challenge,https://www.virtualbadge.io/certificate-validator?credential=d401f62b-5b89-4091-9210-eaffeb77ebfc,AI Singapore,May 2026,,d401f62b-5b89-4091-9210-eaffeb77ebfc
OPOW Hackathon,https://drive.google.com/file/d/1AYYKCSnRi-1WBzTx67Iv4kCR9gtG_rlC/view?usp=sharing,Technortal,Jun 2026,,
Best Project Award,https://drive.google.com/file/d/1UEv14BfI82Mu33oykR3buKTBnEy7Fd4d/view?usp=drive_link,University of Technology ( Yatanarpon Cyber City),Aug 2026,,
Cursor AI Hackathon Myanmar Winner,https://drive.google.com/file/d/1RInpiMQsg3MM0JS39wMRuwSLm-f9z66N/view?usp=sharing,Cursor,Aug 2026,,
